Player,Jersey,Team,Division,Tier,GP,G,A,PTS,PIM,PPG
Bryan Beatty,18,Jersey Dinos,Philadelphia 3,Tier 3,5,0,1,1,0,0.2
PJ Dupre,11,Leominster Stars,Massachusetts,Tier 1,5,0,1,1,1.5,0.2
Jeremey Leeds,89,Long Island Ball Hockey Team,North Jersey 2,Tier 2,6,0,1,1,0,0.17
Chris Dewey,22,Long Island Ball Hockey Team,North Jersey 2,Tier 2,6,0,1,1,0,0.17
Anthony Ullrich,5,Long Island Sound,North Jersey 2,Tier 2,7,0,1,1,0,0.14
Matt Gaba,66,Long Island Sound,North Jersey 2,Tier 2,7,0,1,1,0,0.14
Nick Karcher,93,Maple Shade Chiefs,South Jersey 2,Tier 2,5,0,1,1,0,0.2
Jimmy Gauntt,7,Maple Shade Chiefs,South Jersey 2,Tier 2,5,0,1,1,1.5,0.2
John Stewart,27,Marlton Dawgz,New Jersey,Tier 1,4,0,1,1,0,0.25
Carlos Bonanca,72,Mass Vengeance,Massachusetts 2,Tier 2,4,0,1,1,0,0.25
Aaron Scarelli,19,Mill City Warriors,Massachusetts 2,Tier 2,4,0,1,1,3,0.25
Koree Benning,4,Mill City Warriors,Massachusetts 2,Tier 2,4,0,1,1,0,0.25
